Policy,Episode,Run_Time_sec,Generated_Tasks,Accepted_Tasks,Dropped_Tasks,Completed_Tasks,Reward,Avg_Queue_Length,Load_Imbalance_Std,Freq_Server_0,Freq_Server_1,Freq_Server_2
DQN,1,0.02347874641418457,2917.0,2917.0,0,300,-3894.06,1298.02,611.8924960771749,300,0,0
DQN,2,0.01700305938720703,2832.0,2832.0,0,300,-3834.260000000002,1278.0866666666666,602.495832629407,300,0,0
DQN,3,0.016992568969726562,2877.0,2877.0,0,300,-3868.0099999999998,1289.3366666666666,607.7991334883062,300,0,0
DQN,4,0.016082286834716797,2853.0,2853.0,0,300,-3864.24,1288.08,607.2067351405121,300,0,0
DQN,5,0.016923189163208008,2827.0,2827.0,0,300,-3740.1700000000005,1246.7233333333334,587.7110155089977,300,0,0
DQN,6,0.018512248992919922,2872.0,2872.0,0,300,-3834.8499999999985,1278.2833333333333,602.5885421851626,300,0,0
DQN,7,0.018999576568603516,2803.0,2803.0,0,300,-3933.52,1311.1733333333334,618.0930368739796,300,0,0
DQN,8,0.016999006271362305,2941.0,2941.0,0,300,-3968.35,1322.7833333333333,623.5660433603636,300,0,0
DQN,9,0.019000768661499023,2848.0,2848.0,0,300,-3789.1300000000006,1263.0433333333333,595.4043372883074,300,0,0
DQN,10,0.01903843879699707,2822.0,2822.0,0,300,-3759.960000000001,1253.32,590.8207139978159,300,0,0
DQN,11,0.019681215286254883,2840.0,2840.0,0,300,-3888.21,1296.07,610.9732572616324,300,0,0
DQN,12,0.02061915397644043,2853.0,2853.0,0,300,-3866.369999999999,1288.79,607.5414323502737,300,0,0
DQN,13,0.02341604232788086,2844.0,2844.0,0,300,-3826.529999999999,1275.51,601.2811803141689,300,0,0
DQN,14,0.018999814987182617,2902.0,2902.0,0,300,-3900.720000000002,1300.24,612.939014113331,300,0,0
DQN,15,0.01699995994567871,2842.0,2842.0,0,300,-3900.520000000001,1300.1733333333334,612.9075871452784,300,0,0
DQN,16,0.0190122127532959,2859.0,2859.0,0,300,-3820.1099999999965,1273.37,600.272374639676,300,0,0
DQN,17,0.019037246704101562,2899.0,2899.0,0,300,-3907.3999999999983,1302.4666666666667,613.9886748462923,300,0,0
DQN,18,0.018003463745117188,2780.0,2780.0,0,300,-3699.7700000000023,1233.2566666666667,581.3627679623452,300,0,0
DQN,19,0.01929450035095215,2849.0,2849.0,0,300,-3817.87,1272.6233333333332,599.9203925974854,300,0,0
DQN,20,0.018994569778442383,2821.0,2821.0,0,300,-3707.57,1235.8566666666666,582.5884197164017,300,0,0
DQN,21,0.022016048431396484,2947.0,2947.0,0,300,-3982.4499999999994,1327.4833333333333,625.7816446080814,300,0,0
DQN,22,0.020009756088256836,2827.0,2827.0,0,300,-3746.7999999999993,1248.9333333333334,588.7528194999459,300,0,0
DQN,23,0.018000125885009766,2814.0,2814.0,0,300,-3730.3799999999997,1243.46,586.1726654228164,300,0,0
DQN,24,0.022312402725219727,2871.0,2871.0,0,300,-3867.0800000000004,1289.0266666666666,607.652998086861,300,0,0
DQN,25,0.0169980525970459,2899.0,2899.0,0,300,-3936.97,1312.3233333333333,618.6351520728894,300,0,0
DQN,26,0.019025802612304688,2833.0,2833.0,0,300,-3901.3700000000003,1300.4566666666667,613.0411517595024,300,0,0
DQN,27,0.018004417419433594,2938.0,2938.0,0,300,-3993.5300000000007,1331.1766666666667,627.5226986382029,300,0,0
DQN,28,0.017006635665893555,2821.0,2821.0,0,300,-3777.159999999999,1259.0533333333333,593.5234332503511,300,0,0
DQN,29,0.016994476318359375,2858.0,2858.0,0,300,-3815.279999999999,1271.76,599.5134133612025,300,0,0
DQN,30,0.018005847930908203,2887.0,2887.0,0,300,-3899.589999999999,1299.8633333333332,612.7614517438332,300,0,0
DQN,31,0.018999814987182617,2812.0,2812.0,0,300,-3765.7700000000004,1255.2566666666667,591.7336674197479,300,0,0
DQN,32,0.018002986907958984,2776.0,2776.0,0,300,-3714.750000000001,1238.25,583.716647869495,300,0,0
DQN,33,0.01762866973876953,2820.0,2820.0,0,300,-3814.989999999998,1271.6633333333334,599.4678442575258,300,0,0
DQN,34,0.015991687774658203,2872.0,2872.0,0,300,-3873.63,1291.21,608.682231290588,300,0,0
DQN,35,0.01801276206970215,2863.0,2863.0,0,300,-3881.240000000001,1293.7466666666667,609.8780274249945,300,0,0
DQN,36,0.016993284225463867,2866.0,2866.0,0,300,-3849.0600000000027,1283.02,604.8214282653094,300,0,0
DQN,37,0.01800704002380371,2834.0,2834.0,0,300,-3874.7800000000007,1291.5933333333332,608.8629363568913,300,0,0
DQN,38,0.01751399040222168,2938.0,2938.0,0,300,-3917.840000000001,1305.9466666666667,615.6291625786453,300,0,0
DQN,39,0.015398025512695312,2832.0,2832.0,0,300,-3771.2100000000005,1257.07,592.5884809507821,300,0,0
DQN,40,0.015507698059082031,2906.0,2906.0,0,300,-3911.9,1303.9666666666667,614.695781627479,300,0,0
DQN,41,0.01728081703186035,2897.0,2897.0,0,300,-3931.1900000000014,1310.3966666666668,617.7269126961654,300,0,0
DQN,42,0.01700139045715332,2787.0,2787.0,0,300,-3726.5699999999993,1242.19,585.5739816814116,300,0,0
DQN,43,0.02001953125,2835.0,2835.0,0,300,-3860.4099999999994,1286.8033333333333,606.6049087023022,300,0,0
DQN,44,0.01690077781677246,2861.0,2861.0,0,300,-3789.72,1263.24,595.4970468440629,300,0,0
